!anime-metadata-db-index	1
!stats	franchises=1	series=502	seasons=594	episodes=8987	characters=727	staff=484	earliest=2006	latest=2026
!franchises	id	file	titles
fate	fate.yaml	フェイト|en=Fate
!series	id	file	franchise	titles
0-saiji-start-dash-monogatari	0-saiji-start-dash-monogatari.yaml		0歳児スタートダッシュ物語|ja-Latn=0-saiji Start Dash Monogatari
enen-no-shouboutai	enen-no-shouboutai.yaml		炎炎ノ消防隊|en=Fire Force|ja-Latn=Enen no Shouboutai
eris-no-seihai	eris-no-seihai.yaml		エリスの聖杯|en=The Holy Grail of Eris|ja-Latn=Eris no Seihai
everyday-host	everyday-host.yaml		えぶりでいホスト|ja-Latn=Everyday Host
farmagia	farmagia.yaml		ファーマギア|ja-Latn=Farmagia
fate-stay-night	fate.yaml	1	Fate/stay night
fate-zero	fate.yaml	1	Fate/Zero
fate-strange-fake	fate.yaml	1	Fate/strange Fake
fei-ren-zai-xian-shi-wan-jia	fei-ren-zai-xian-shi-wan-jia.yaml		非人哉：限时玩家|zh-Latn=Fei Ren Zai: Xian Shi Wan Jia
fermat-no-ryouri	fermat-no-ryouri.yaml		フェルマーの料理|ja-Latn=Fermat no Ryouri
first-light	first-light.yaml		ファースト・ライト|ja-Latn=First Light
food-court-de-mata-ashita	food-court-de-mata-ashita.yaml		フードコートで、また明日|ja-Latn=Food Court de, Mata Ashita.
fuguushoku-kanteishi-ga-jitsu-wa-saikyou-datta	fuguushoku-kanteishi-ga-jitsu-wa-saikyou-datta.yaml		不遇職【鑑定士】が実は最強だった～奈落で鍛えた最強の【神眼】で無双する～|ja-Latn=Fuguushoku "Kanteishi" ga Jitsu wa Saikyou Datta
fumetsu-no-anata-e	fumetsu-no-anata-e.yaml		不滅のあなたへ|ja-Latn=Fumetsu no Anata e
fushigi-no-kuni-de-alice-to-dive-in-wonderland	fushigi-no-kuni-de-alice-to-dive-in-wonderland.yaml		不思議の国でアリスと -Dive in Wonderland|ja-Latn=Fushigi no Kuni de Alice to: Dive in Wonderland
futari-solo-camp	futari-solo-camp.yaml		ふたりソロキャンプ|ja-Latn=Futari Solo Camp
futsuu-no-seikatsu	futsuu-no-seikatsu.yaml		普通の生活|ja-Latn=Futsuu no Seikatsu
future-kid-takara	future-kid-takara.yaml		フューチャーキッドタカラ|ja-Latn=Future Kid Takara
fx-senshi-kurumi-chan	fx-senshi-kurumi-chan.yaml		FX戦士くるみちゃん|en=FX Fighter Kurumi-chan|ja-Latn=FX Senshi Kurumi-chan
gachiakuta	gachiakuta.yaml		ガチアクタ|ja-Latn=Gachiakuta
gakkou-de-wa-oshiete-kurenai-taisetsu-na-koto	gakkou-de-wa-oshiete-kurenai-taisetsu-na-koto.yaml		学校では教えてくれない大切なこと|ja-Latn=Gakkou de wa Oshiete Kurenai Taisetsu na Koto
galaxy-apartment-cosmo-hills	galaxy-apartment-cosmo-hills.yaml		ギャラクシーアパート★コスモヒルズ|ja-Latn=Galaxy Apartment☆Cosmo Hills
game-center-shoujo-to-ibunka-kouryuu	game-center-shoujo-to-ibunka-kouryuu.yaml		ゲーセン少女と異文化交流|ja-Latn=Game Center Shoujo to Ibunka Kouryuu
ganbare-nakamura-kun	ganbare-nakamura-kun.yaml		ガンバレ! 中村くん!!|ja-Latn=Ganbare! Nakamura-kun!!
ganglion	ganglion.yaml		ガングリオン|ja-Latn=Ganglion
gelpiyo	gelpiyo.yaml		ゲルぴよ|ja-Latn=Gelpiyo
ghost-concert-missing-songs	ghost-concert-missing-songs.yaml		ゴーストコンサート : missing Songs|ja-Latn=Ghost Concert: Missing Songs
ginga-tokkyuu-milky-subway	ginga-tokkyuu-milky-subway.yaml		銀河特急 ミルキー☆サブウェイ|ja-Latn=Ginga Tokkyuu Milky☆Subway
girls-and-panzer-motto-love-love-sakusen-desu	girls-and-panzer-motto-love-love-sakusen-desu.yaml		ガールズ＆パンツァー もっとらぶらぶ作戦です！|ja-Latn=Girls & Panzer: Motto Love Love Sakusen desu!
girls-band-cry-movie	girls-band-cry-movie.yaml		総集編ガールズバンドクライ 青春狂走曲|ja-Latn=Girls Band Cry Movie
girls-band-cry-naa-mirai	girls-band-cry-naa-mirai.yaml		ガールズバンドクライ なぁ、未来。|ja-Latn=GIRLS BAND CRY: Naa, Mirai.
glass-and-kumo	glass-and-kumo.yaml		Glass and Kumo
gnosia	gnosia.yaml		グノーシア|ja-Latn=Gnosia
go-go-vehicle-zoo	go-go-vehicle-zoo.yaml		ゴー！ゴ―！びーくるずー|ja-Latn=Go! Go! Vehicle Zoo
golden-kamuy	golden-kamuy.yaml		ゴールデンカムイ|ja-Latn=Golden Kamuy
good-mourning	good-mourning.yaml		グッド・喪ーニング|ja-Latn=GOOD-MOURNING
gorilla-no-kami-kara-kago-sareta-reijou-wa-ouritsu-kishidan	gorilla-no-kami-kara-kago-sareta-reijou-wa-ouritsu-kishidan.yaml		ゴリラの神から加護された令嬢は王立騎士団で可愛がられる|ja-Latn=Gorilla no Kami kara Kago sareta Reijou wa Ouritsu Kishidan de Kawaigarareru
goumon-baito-kun-no-nichijou	goumon-baito-kun-no-nichijou.yaml		拷問バイトくんの日常|en=The Daily Life of a Part-time Torturer|ja-Latn=Goumon Baito-kun no Nichijou
grand-blue	grand-blue.yaml		ぐらんぶる|ja-Latn=Grand Blue
grisaia-phantom-trigger	grisaia-phantom-trigger.yaml		グリザイア:ファントムトリガー THE ANIMATION|ja-Latn=Grisaia: Phantom Trigger
guild-no-uketsukejou-desu-ga-zangyou-wa-iya-nanode-boss-wo	guild-no-uketsukejou-desu-ga-zangyou-wa-iya-nanode-boss-wo.yaml		ギルドの受付嬢ですが、残業は嫌なのでボスをソロ討伐しようと思います|ja-Latn=Guild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Toubatsu Shiyou to Omoimasu
guilty-gear-strive-dual-rulers	guilty-gear-strive-dual-rulers.yaml		ギルティギア Strive: Dual Rulers|ja-Latn=Guilty Gear Strive: Dual Rulers
haai-myakumyaku-desu	haai-myakumyaku-desu.yaml		はーい！ミャクミャクです|ja-Latn=Haai! Myakumyaku desu
haibara-kun-no-tsuyokute-seishun-new-game	haibara-kun-no-tsuyokute-seishun-new-game.yaml		灰原くんの強くて青春ニューゲーム|en=Haibara's Teenage New Game+|ja-Latn=Haibara-kun no Tsuyokute Seishun New Game
haite-kudasai-takamine-san	haite-kudasai-takamine-san.yaml		履いてください、鷹峰さん|ja-Latn=Haite Kudasai, Takamine-san
hana-doll-reinterpretation-of-flowering	hana-doll-reinterpretation-of-flowering.yaml		華Doll*-Reinterpretation of Flowering|ja-Latn=Hana-Doll*: Reinterpretation of Flowering
hana-wa-saku-shura-no-gotoku	hana-wa-saku-shura-no-gotoku.yaml		花は咲く、修羅の如く|ja-Latn=Hana wa Saku, Shura no Gotoku
hanazakari-no-kimitachi-e	hanazakari-no-kimitachi-e.yaml		花さかりの君たちへ|ja-Latn=Hanazakari no Kimitachi e
hateshinaki-scarlet	hateshinaki-scarlet.yaml		果てしなきスカーレット|ja-Latn=Hateshinaki Scarlet
hazure-skill-kinomi-master-skill-no-mi-tabetara-shinu-wo	hazure-skill-kinomi-master-skill-no-mi-tabetara-shinu-wo.yaml		外れスキル《木の実マスター》 ～スキルの実（食べたら死ぬ）を無限に食べられるようになった件について～|ja-Latn=Hazure Skill "Kinomi Master": Skill no Mi (Tabetara Shinu) wo Mugen ni Taberareru You ni Natta Ken ni Tsuite
heika-watashi-wo-wasurete-kudasai	heika-watashi-wo-wasurete-kudasai.yaml		陛下わたしを忘れてください|ja-Latn=Heika Watashi wo Wasurete Kudasai
hell-mode-yarikomizuki-no-gamer-wa-hai-settei-no-isekai	hell-mode-yarikomizuki-no-gamer-wa-hai-settei-no-isekai.yaml		ヘルモード ~やり込み好きのゲーマーは廃設定の異世界で無双する~ はじまりの召喚士|ja-Latn=Hell Mode: Yarikomizuki no Gamer wa Hai Settei no Isekai de Musou suru
heya-nikki	heya-nikki.yaml		部屋日記|ja-Latn=Heya Nikki
hibi-wa-sugiredo-meshi-umashi	hibi-wa-sugiredo-meshi-umashi.yaml		日々は過ぎれど飯うまし|ja-Latn=Hibi wa Sugiredo Meshi Umashi
hidarikiki-no-eren	hidarikiki-no-eren.yaml		左ききのエレン|en=Eren the Southpaw|ja-Latn=Hidarikiki no Eren
higeki-no-genkyou-to-naru-saikyou-gedou-last-boss-joou-wa	higeki-no-genkyou-to-naru-saikyou-gedou-last-boss-joou-wa.yaml		悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします.|ja-Latn=Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.
high-school-kimengumi-2026	high-school-kimengumi-2026.yaml		ハイスクール! 奇面組 (2026)|ja-Latn=High School! Kimengumi (2026)
hikaru-ga-shinda-natsu	hikaru-ga-shinda-natsu.yaml		光が死んだ夏|ja-Latn=Hikaru ga Shinda Natsu
hikuidori-ushuu-boro-tobi-gumi	hikuidori-ushuu-boro-tobi-gumi.yaml		火喰鳥 羽州ぼろ鳶組|ja-Latn=Hikuidori: Ushuu Boro Tobi-gumi
himekishi-wa-barbaroi-no-yome	himekishi-wa-barbaroi-no-yome.yaml		姫騎士は蛮族の嫁|en=The Barbarian's Bride|ja-Latn=Himekishi wa Barbaroi no Yome
himesama-goumon-no-jikan-desu	himesama-goumon-no-jikan-desu.yaml		姫様"拷問"の時間です|ja-Latn=Himesama "Goumon" no Jikan desu
himitsu-no-aipri	himitsu-no-aipri.yaml		ひみつのアイプリ|ja-Latn=Himitsu no AiPri
hokuto-no-ken-fist-of-the-north-star	hokuto-no-ken-fist-of-the-north-star.yaml		北斗の拳 -FIST OF THE NORTH STAR-|ja-Latn=Hokuto no Ken: Fist of the North Star
hokuto-no-ken-kenougun-zako-tachi-no-banka	hokuto-no-ken-kenougun-zako-tachi-no-banka.yaml		Animatica「北斗の拳 拳王軍ザコたちの挽歌」|ja-Latn=Hokuto no Ken: Kenougun Zako-tachi no Banka
honey-lemon-soda	honey-lemon-soda.yaml		ハニーレモンソーダ|ja-Latn=Honey Lemon Soda
honzuki-no-gekokujou	honzuki-no-gekokujou.yaml		本好きの下剋上 ～司書になるためには手段を選んでいられません～|ja-Latn=Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen
hoppe-chan-sun-oukoku-to-kuro-hoppe-dan-no-himitsu	hoppe-chan-sun-oukoku-to-kuro-hoppe-dan-no-himitsu.yaml		ほっぺちゃん ~サン王国と黒ほっぺ団の秘密~|ja-Latn=Hoppe-chan: Sun Oukoku to Kuro Hoppe-dan no Himitsu
hoshi-no-kodomo-to-hajimari-no-ki	hoshi-no-kodomo-to-hajimari-no-ki.yaml		星の子どもとはじまりの樹|ja-Latn=Hoshi no Kodomo to Hajimari no Ki
hotel-inhumans	hotel-inhumans.yaml		ホテル・インヒューマンズ|ja-Latn=Hotel Inhumans
housenka	housenka.yaml		ホウセンカ|ja-Latn=Housenka
hyakki-yakou-shou	hyakki-yakou-shou.yaml		百鬼夜行抄|ja-Latn=Hyakki Yakou Shou
hyakuemu	hyakuemu.yaml		ひゃくえむ。|ja-Latn=Hyakuemu.
hyakushou-kizoku	hyakushou-kizoku.yaml		百姓貴族|ja-Latn=Hyakushou Kizoku
hypnosis-mic-division-rap-battle-movie	hypnosis-mic-division-rap-battle-movie.yaml		ヒプノシスマイク -Division Rap Battle- 映画|ja-Latn=Hypnosis Mic: Division Rap Battle Movie
i	i.yaml		I
